casename,judge_name,girls,any_girls,progressive_vote,republican,age,catholic,woman,african,hispanic,child,femplaintiff,area,religion,race,circuit,year
Holmes v. California Army Nat'l Guard,"Reavley, Thomas M.",2,1,0,0,58,0,0,0,0,4,0,employment,10,1,9,1997
Meinhold v. United States DOD,"Boochever, Robert",4,1,1,0,63,0,0,0,0,4,0,employment,5,1,9,1997
Rendish v. City of Tacoma,"Lay, Donald",5,1,0,0,40,0,0,0,0,5,1,employment,8,1,9,1997
Nelson v. Cyprus Bagdad Copper Corp.,"Reinhardt, Stephen R.",1,1,1,0,49,0,0,0,0,3,3,employment,5,1,9,1997
Hashimoto v. Dalton,"Skopil, Otto R.",2,1,1,1,60,0,0,0,0,4,1,employment,8,1,9,1997
Easton v. Crossland Mortg. Corp.,"Magill, Frank J.",0,0,1,1,59,1,0,0,0,1,1,employment,4,1,9,1997
Johnson v. Knowles,"Wiggins, Charles E.",0,0,0,1,57,0,0,0,0,2,0,employment,8,1,9,1997
Renteria v. Prudential Ins. Co. of Am.,"Reinhardt, Stephen R.",1,1,1,0,49,0,0,0,0,3,1,employment,5,1,9,1997
Payne v. Norwest Corp.,"Wright, Eugene A.",1,1,1,1,56,0,0,0,0,2,0,employment,2,1,9,1997
Coalition for Economic Equity v. Wilson,"O'Scannlain, Diaruid F.",4,1,0,1,49,1,0,0,0,8,NA,employment,4,1,9,1997
Lumpkin v. Brown,"Norris, William Albert",3,1,0,0,53,NA,0,0,0,5,0,employment,NA,1,9,1997
Yamaguchi v. United States Dep't of the Air Force,"Fletcher, Betty B.",2,1,1,0,56,0,0,0,0,4,1,employment,8,1,9,1997
Gutowsky v. County of Placer,"Lay, Donald",5,1,1,0,40,0,0,0,0,5,1,employment,8,1,9,1997
Hodge v. Dalton,"Fletcher, Betty B.",2,1,0,0,56,0,0,0,0,4,0,employment,8,1,9,1997
Philips v. Perry,"Fletcher, Betty B.",2,1,1,0,56,0,0,0,0,4,0,employment,8,1,9,1997
"Bradley v. Harcourt, Brace & Co.","Brunetti, Melvin T.",1,1,0,1,52,NA,0,0,0,2,1,employment,NA,1,9,1996
Tucker v. California Dep't of Educ.,"Boochever, Robert",4,1,1,0,63,0,0,0,0,4,0,employment,5,1,9,1996
Eldredge v. Carpenters 46 N. Cal. Counties Joint Apprenticeship & Training Comm.,"Fletcher, Betty B.",2,1,1,0,56,0,0,0,0,4,1,employment,8,1,9,1996
Holden v. Canadian Consulate,"Leavy, Edward",1,1,1,1,58,1,0,0,0,4,1,employment,4,1,9,1996
Keenan v. Allan,"Browning, James Robert",NA,NA,0,0,43,0,0,0,0,1,3,employment,2,1,9,1996
Scott v. Pasadena Unified Sch. Dist.,"Fletcher, Betty B.",2,1,1,0,56,0,0,0,0,4,1,equal protection,8,1,9,2002
United States v. Elder,"Pregerson, Harry",1,1,0,0,56,0,0,0,0,2,0,criminal,5,1,9,2002
Pagter v. Massanari,"Pregerson, Harry",1,1,0,0,56,0,0,0,0,2,0,equal protection,5,1,9,2001
Schwenk v. Hartford,"Fletcher, Betty B.",2,1,1,0,56,0,0,0,0,4,3,equal protection,8,1,9,2000
Neal v. Board of Trustees,"Canby, William C.",1,1,1,0,49,NA,0,0,0,3,0,Title IX,NA,1,9,1999
United States v. Ahumada-Aguilar,"Schroeder, Mary Murphy",2,1,1,0,39,NA,1,0,0,2,0,immigration,NA,1,9,1999
Fajardo v. County of Los Angeles,"Pregerson, Harry",1,1,1,0,56,0,0,0,0,2,1,equal protection,5,1,9,1999
Oona by Kate S. v. McCaffrey,"Wood, Harlington, Jr.",1,1,1,1,56,0,0,0,0,1,1,Title IX,8,1,9,1998
Bergene v. Salt River Project Agric. Improvement & Power Dist.,"Schroeder, Mary Murphy",2,1,1,0,39,NA,1,0,0,2,3,employment,NA,1,9,2001
Monterey Mech. Co. v. Wilson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,equal protection,NA,NA,9,1998
Monterey Mech. Co. v. Wilson,"O'Scannlain, Diaruid F.",4,1,0,1,49,1,0,0,0,8,0,equal protection,4,1,9,1997
Planned Parenthood of S. Ariz. v. Lawall,"Lay, Donald",5,1,0,0,40,0,0,0,0,5,1,abortion,8,1,9,2002
"Santana v. Zilog, Inc.","Wright, Eugene A.",1,1,1,1,56,0,0,0,0,2,1,abortion,2,1,9,1996
Norman-Bloodsaw v. Lawrence Berkeley Lab.,"Reinhardt, Stephen R.",1,1,1,0,49,0,0,0,0,3,1,pregnancy,5,1,9,1998
Wilkes v. Wyo. Dep't of Empl. Div. of Labor Stds.,"Briscoe, Mary",0,0,0,0,48,0,1,0,0,0,1,employment,99,1,10,2002
Davey v. Lockheed Martin Corp.,"Tacha, Deanell R.",2,1,0,1,39,0,0,0,0,4,1,employment,10,1,10,2002
"Ferroni v. Teamsters, Chauffeurs & Warehousemen Local No. 222","Tacha, Deanell R.",2,1,1,1,39,0,0,0,0,4,1,employment,10,1,10,2002
Sizova v. Nat'l Inst. of Stds. & Tech.,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,employment,1,1,10,2002
Bartell v. Aurora Pub. Sch.,"Lucero, Carlos",1,1,0,0,55,1,0,0,1,1,0,employment,4,3,10,2001
Aquilino v. Univ. of Kan.,"Ebel, David M.",2,1,0,1,48,0,0,0,0,4,1,employment,7,1,10,2001
"Harrison v. Eddy Potash, Inc.","Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,employment,1,1,10,2001
Gossett v. Oklahoma ex rel. Bd. of Regents for Langston Univ.,"Tacha, Deanell R.",2,1,1,1,39,0,0,0,0,4,0,employment,10,1,10,2001
Walker v. UPS,"Henry, Robert Harlan",0,0,1,0,NA,1,0,0,0,1,1,employment,4,1,10,2001
Mallinson-Montague v. Pocrnick,"Henry, Robert Harlan",0,0,1,0,NA,1,0,0,0,1,1,employment,4,1,10,2000
Martinez v. Wyoming,"Lucero, Carlos",1,1,0,0,55,1,0,0,1,1,0,employment,4,3,10,2000
Clinger v. New Mexico Highlands Univ.,"Tacha, Deanell R.",2,1,0,1,39,0,0,0,0,4,1,employment,10,1,10,2000
Pastran v. K-Mart Corp.,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,0,employment,1,1,10,2000
"Knowlton v. Teltrust Phones, Inc.","Briscoe, Mary",0,0,1,0,48,0,1,0,0,0,1,employment,99,1,10,1999
"Bullington v. United Air Lines, Inc.","Tacha, Deanell R.",2,1,1,1,39,0,0,0,0,4,1,employment,10,1,10,1999
Robbins v. Jefferson County Sch. Dist.,"Anderson, Stephen H.",1,1,0,1,53,NA,0,0,0,1,1,employment,NA,1,10,1999
Whitehead v. Oklahoma Gas & Elec. Co.,"Brorby, Wade",0,0,0,1,54,0,0,0,0,2,1,pregnancy,7,1,10,1999
O'Shea v. Yellow Tech. Servs.,"Kelly, Paul J., Jr.",3,1,1,1,52,1,0,0,0,5,1,employment,4,1,10,1999
Brillhart v. Philips Elecs. N. Am. Corp.,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,1,employment,1,1,10,1999
"Atchley v. Nordam Group, Inc","Porfilio, John",1,1,1,1,NA,NA,0,NA,NA,3,1,pregnancy,NA,NA,10,1999
Matthiesen v. Banc One Mortg. Corp.,"Tacha, Deanell R.",2,1,0,1,39,0,0,0,0,4,1,sex discrimination,10,1,10,1999
McCue v. Kansas Department of Human Resources,"Baldock, Bobby R.",0,0,1,1,49,0,0,0,0,2,1,employment,3,1,10,1999
Lockard v. Pizza Hut,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,employment,1,1,10,1998
Farley v. United States,"Brorby, Wade",0,0,1,1,54,0,0,0,0,2,1,employment,7,1,10,1998
Gold v. Local 7 United Food & Commer. Workers Union,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,employment,1,1,10,1998
Paradis v. Montrose Mem'l Hosp.,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,first amendment,1,1,10,1998
Gudenkauf v. Stauffer Communs.,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,employment,1,1,10,1998
Penry v. Federal Home Loan Bank,"Porfilio, John",1,1,0,1,NA,NA,0,NA,NA,3,1,employment,NA,NA,10,1998
Gunnell v. Utah Valley State College,"Ebel, David M.",2,1,1,1,48,0,0,0,0,4,1,employment,7,1,10,1998
Byers v. City of Albuquerque,"Porfilio, John",1,1,0,1,NA,NA,0,NA,NA,3,0,employment,NA,NA,10,1998
McKnight v. Kimberly Clark Corp.,"Tacha, Deanell R.",2,1,0,1,39,0,0,0,0,4,0,employment,10,1,10,1998
Jeffries v. Dep't of Soc. & Rehab. Servs.,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,employment,1,1,10,1998
Beaird v. Seagate Tech.,"Tacha, Deanell R.",2,1,1,1,39,0,0,0,0,4,1,employment,10,1,10,1998
Zinn v. McKune,"Kelly, Paul J., Jr.",3,1,0,1,52,1,0,0,0,5,1,employment,4,1,10,1998
Barney v. Pulsipher,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,1,equal protection,1,1,10,1998
Smith v. Norwest Fin. Acceptance,"Brorby, Wade",0,0,1,1,54,0,0,0,0,2,1,employment,7,1,10,1997
Sprague v. Thorn Ams.,"Brorby, Wade",0,0,0,1,54,0,0,0,0,2,1,employment,7,1,10,1997
Taken v. Oklahoma Corp. Comm'n,"Kelly, Paul J., Jr.",3,1,0,1,52,1,0,0,0,5,1,employment,4,1,10,1997
"Harrison v. Eddy Potash, Inc.","Briscoe, Mary",0,0,1,0,48,0,1,0,0,0,1,employment,99,1,10,1997
Seymore v. Shawver & Sons,"Brorby, Wade",0,0,0,1,54,0,0,0,0,2,1,employment,7,1,10,1997
Coleman v. B-G Maint. Mgmt.,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,employment,1,1,10,1997
McKenzie v. Renberg's Inc.,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,1,employment,1,1,10,1996
York v. AT&T,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,1,employment,1,1,10,1996
Jones v. Runyon,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,1,employment,1,1,10,1996
Lowe v. Angelo's Italian Foods,"Baldock, Bobby R.",0,0,1,1,49,0,0,0,0,2,1,employment,3,1,10,1996
Murrell v. School Dist. No. 1,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,Title IX,1,1,10,1999
United States v. McHorse,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,0,equal protection,1,1,10,1999
Terrell v. INS,"Baldock, Bobby R.",0,0,0,1,49,0,0,0,0,2,0,immigration,3,1,10,1998
Barney v. Pulsipher,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,1,equal protection,1,1,10,1998
Whitney v. New Mexico,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,equal protection,1,1,10,1997
Coleman v. B-G Maint. Mgmt.,"Seymour, Stephanie Kulp",3,1,1,0,39,0,1,0,0,4,1,equal protection,1,1,10,1997
Jane L. v. Bangerter,"Seymour, Stephanie Kulp",3,1,0,0,39,0,1,0,0,4,1,abortion,1,1,10,1996
EEOC v. Horizon/CMS Healthcare Corp.,"Murphy, Michael",1,1,1,0,48,1,0,0,0,2,1,pregnancy,4,1,10,2000
"Atchley v. Nordam Group, Inc","Porfilio, John",1,1,1,1,NA,NA,0,NA,NA,3,1,pregnancy,NA,NA,10,1999
Jackson v. Birmingham Bd. of Educ.,"Dubina, Joel F.",1,1,0,1,43,0,0,0,0,3,0,Title IX,7,1,11,2002
Holmes v. W. Palm Beach Hous. Auth.,"Marcus, Stanley",1,1,0,1,NA,NA,0,NA,NA,2,1,employment,NA,NA,11,2002
Dixon v. Burke County,"Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,employment,2,1,11,2002
"Williams v. Motorola, Inc.","Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,employment,2,1,11,2002
"Woodard v. Fanboy, L.L.C.","Edmondson, James L.",2,1,1,1,39,0,0,0,0,2,1,housing,2,1,11,2002
"EEOC v. Joe's Stone Crabs, Inc.","Tjoflat, Gerald B.",1,1,1,1,46,0,0,0,0,2,1,employment,2,1,11,2002
Walker v. Prudential Prop. & Cas. Ins. Co.,"Godbold, John",3,1,0,0,46,0,0,0,0,4,1,employment,2,1,11,2002
Rojas v. Florida,"Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,employment,2,1,11,2002
"Cofield v. Goldkist, Inc.","Birch, Stanley F., Jr.",1,1,0,1,45,0,0,0,0,1,1,employment,2,1,11,2001
Pipkins v. City of Temple Terrace,"Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,employment,2,1,11,2001
"Lipphardt v. Durango Steakhouse of Brandon, Inc.","Birch, Stanley F., Jr.",1,1,1,1,45,0,0,0,0,1,1,employment,2,1,11,2001
Pijnenburg v. W. Ga. Health Sys.,"Black, Susan H.",0,0,0,1,49,0,1,0,0,0,1,employment,2,1,11,2001
Perez v. Globe Airport Sec. Servs.,"Tjoflat, Gerald B.",1,1,1,1,46,0,0,0,0,2,1,employment,2,1,11,2001
Roe v. Aware Woman Ctr. for Choice,"Carnes, Edward E.",NA,NA,1,1,42,0,0,0,0,1,1,abortion,7,1,11,2001
Harrington v. Cleburne County Bd. of Educ.,"Wilson, Charles",2,1,1,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,11,2001
Bonner v. Mobile Energy Servs. Co. L.L.C.,"Tjoflat, Gerald B.",1,1,1,1,46,0,0,0,0,2,1,employment,2,1,11,2001
Vason v. City of Montgomery,"Black, Susan H.",0,0,0,1,49,0,1,0,0,0,1,employment,2,1,11,2001
"Durley v. APAC, Inc.","Birch, Stanley F., Jr.",1,1,1,1,45,0,0,0,0,1,1,employment,2,1,11,2000
Johnson v. Booker T. Washington Broad. Serv.,"Cox, Emmett R.",1,1,0,1,53,0,0,0,0,2,1,employment,2,1,11,2000
Davis ex rel. Doe v. Dekalb County Sch. Dist.,"Cox, Emmett R.",1,1,0,1,53,0,0,0,0,2,1,Title IX,2,1,11,2000
Stewart v. Booker T. Washington Ins.,"Carnes, Edward E.",NA,NA,1,1,42,0,0,0,0,1,1,employment,7,1,11,2000
Santini v. Cleveland Clinic Fla.,"Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,employment,2,1,11,2000
Hinson v. Clinch County Bd. of Educ.,"Edmondson, James L.",2,1,1,1,39,0,0,0,0,2,1,employment,2,1,11,2000
Succar v. Dade County Sch. Bd.,"Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,employment,2,1,11,2000
"Lee v. GTE Fla., Inc.","Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,employment,2,1,11,2000
Carter v. West Publ'g Co.,"Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,class action,2,1,11,2000
"EEOC v. Joe's Stone Crab, Inc.","Black, Susan H.",0,0,1,1,49,0,1,0,0,0,1,employment,2,1,11,2000
United States EEOC v. W&O Inc.,"Birch, Stanley F., Jr.",1,1,1,1,45,0,0,0,0,1,1,employment,2,1,11,2000
Gupta v. Florida Bd. of Regents,"Anderson, R. Lanier, III",NA,NA,0,0,43,0,0,0,0,3,1,employment,2,1,11,2000
"Armindo v. Padlocker, Inc.","Cox, Emmett R.",1,1,0,1,53,0,0,0,0,2,1,pregnancy,2,1,11,2000
Hundertmark v. Florida DOT,"Cox, Emmett R.",1,1,1,1,53,0,0,0,0,2,1,employment,2,1,11,2000
"O'Connor v. PCA Family Health Plan, Inc.","Cox, Emmett R.",1,1,0,1,53,0,0,0,0,2,1,employment,2,1,11,2000
Spivey v. Beverly Enters.,"Black, Susan H.",0,0,0,1,49,0,1,0,0,0,1,pregnancy,2,1,11,1999
"Mendoza v. Borden, Inc.",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,11,1999
Garrett v. University of Ala. Bd. of Trustees,"Anderson, R. Lanier, III",NA,NA,1,0,43,0,0,0,0,3,1,employment,2,1,11,1999
Stimpson v. City of Tuscaloosa,"Cox, Emmett R.",1,1,0,1,53,0,0,0,0,2,1,employment,2,1,11,1999
Scarfo v. Ginsberg,"Hatchett, Joseph W.",2,1,0,0,47,0,0,1,0,2,1,employment,3,2,11,1999
Taylor v. Runyon,"Hatchett, Joseph W.",2,1,1,0,47,0,0,1,0,2,1,employment,3,2,11,1999
Lathem v. Department of Children & Youth Servs.,"Hatchett, Joseph W.",2,1,1,0,47,0,0,1,0,2,1,employment,3,2,11,1999
Weaver v. Florida Power & Light Co.,"Tjoflat, Gerald B.",1,1,1,1,46,0,0,0,0,2,1,employment,2,1,11,1999
Maniccia v. Brown,"Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,employment,2,1,11,1999
Schoenfeld v. Babbitt,"Cox, Emmett R.",1,1,1,1,53,0,0,0,0,2,0,employment,2,1,11,1999
Lyes v. City of Riviera Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,11,1999
"Coates v. Sundor Brands, Inc.","Anderson, R. Lanier, III",NA,NA,0,0,43,0,0,0,0,3,1,employment,2,1,11,1999
"Llampallas v. Mini-Circuits, Inc.","Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,employment,2,1,11,1998
Crawford v. Babbitt,"Carnes, Edward E.",NA,NA,1,1,42,0,0,0,0,1,1,employment,7,1,11,1998
Womack v. Runyon,"Carnes, Edward E.",NA,NA,0,1,42,0,0,0,0,1,0,employment,7,1,11,1998
Harper v. Blockbuster Entm't Corp.,"Cox, Emmett R.",1,1,0,1,53,0,0,0,0,2,0,employment,2,1,11,1998
Arrington v. Cobb County,"Tjoflat, Gerald B.",1,1,1,1,46,0,0,0,0,2,1,employment,2,1,11,1998
Mencer v. Hammonds,"Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,employment,2,1,11,1998
Paladino v. Avnet Computer Techs.,"Hatchett, Joseph W.",2,1,1,0,47,0,0,1,0,2,1,employment,3,2,11,1998
Badia v. City of Miami,"Tjoflat, Gerald B.",1,1,1,1,46,0,0,0,0,2,0,employment,2,1,11,1998
Braddy v. Florida Dep't of Labor & Empl. Sec.,"Dubina, Joel F.",1,1,1,1,43,0,0,0,0,3,1,employment,7,1,11,1998
Burrell v. Board of Trustees,"Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,employment,2,1,11,1997
Carter v. Decisionone Corp.,"Birch, Stanley F., Jr.",1,1,1,1,45,0,0,0,0,1,1,employment,2,1,11,1997
Mays v. United States Postal Serv.,"Anderson, R. Lanier, III",NA,NA,0,0,43,0,0,0,0,3,1,employment,2,1,11,1997
Kaufman v. Checkers Drive-In Restaurants,"Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,0,employment,2,1,11,1997
Merritt v. Dillard Paper Co.,"Carnes, Edward E.",NA,NA,1,1,42,0,0,0,0,1,1,employment,7,1,11,1997
Raney v. Vinson Guard Serv.,"Hatchett, Joseph W.",2,1,0,0,47,0,0,1,0,2,1,employment,3,2,11,1997
Fleming v. Boeing Co.,"Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,employment,2,1,11,1997
Davis v. Monroe County Bd. of Educ.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Title IX,NA,NA,11,1997
Farley v. American Cast Iron Pipe Co.,"Birch, Stanley F., Jr.",1,1,0,1,45,0,0,0,0,1,1,employment,2,1,11,1997
Shahar v. Bowers,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,11,1997
Fredette v. BVP Mgmt. Assocs.,"Anderson, R. Lanier, III",NA,NA,1,0,43,0,0,0,0,3,0,employment,2,1,11,1997
Faragher v. City of Boca Raton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,11,1997
Watkins v. Bowden,"Hatchett, Joseph W.",2,1,0,0,47,0,0,1,0,2,1,employment,3,2,11,1997
Pritchard v. Southern Co. Servs.,"Carnes, Edward E.",NA,NA,1,1,42,0,0,0,0,1,1,employment,7,1,11,1996
Dixon v. Burke County,"Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,equal protection,2,1,11,2002
Danskine v. Miami Dade Fire Dep't,"Carnes, Edward E.",NA,NA,0,1,42,0,0,0,0,1,0,equal protection,7,1,11,2001
Hinson v. Clinch County Bd. of Educ.,"Edmondson, James L.",2,1,1,1,39,0,0,0,0,2,1,equal protection,2,1,11,2000
"Armindo v. Padlocker, Inc.","Cox, Emmett R.",1,1,0,1,53,0,0,0,0,2,1,pregnancy,2,1,11,2000
Hundertmark v. Florida DOT,"Cox, Emmett R.",1,1,1,1,53,0,0,0,0,2,1,equal protection,2,1,11,2000
Garrett v. University of Ala. Bd. of Trustees,"Anderson, R. Lanier, III",NA,NA,0,0,43,0,0,0,0,3,1,equal protection,2,1,11,1999
Lyes v. City of Riviera Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,equal protection,NA,NA,11,1999
Gray v. Board of Regents of the Univ. Sys.,"Edmondson, James L.",2,1,0,1,39,0,0,0,0,2,1,equal protection,2,1,11,1998
Mencer v. Hammonds,"Tjoflat, Gerald B.",1,1,0,1,46,0,0,0,0,2,1,equal protection,2,1,11,1998
Engineering Contrs. Ass'n v. Metropolitan Dade County,"Carnes, Edward E.",NA,NA,1,1,42,0,0,0,0,1,0,equal protection,7,1,11,1997
Roe v. Aware Woman Ctr. for Choice,"Carnes, Edward E.",NA,NA,1,1,42,0,0,0,0,1,1,abortion,7,1,11,2001
McKenzie v. Principi,"Henderson, Karen LeCraft",0,0,0,1,46,1,1,0,0,0,1,employment,4,1,DC,2002
Yarber-Butler v. Billington,"Randolph, A. Raymond",1,1,0,1,47,1,0,0,0,2,1,employment,4,1,DC,2002
Swallow v. Fetzer Vineyards,"Lynch, Sandra",0,0,0,0,49,1,1,0,0,1,1,employment,4,1,1,2002
Ramos-Pena v. New P.R. Marine Mgmt.,"Selya, Bruce M.",2,1,0,1,52,0,0,0,0,2,1,employment,5,1,1,2001
Isles v. Whc Jr./Coc,"Torruella del Valle, Juan R.",NA,NA,0,1,51,1,0,0,1,4,1,employment,4,3,1,1996
Beiter v. Runyon,"Meskill, Thomas J.",2,1,0,1,47,1,0,0,0,4,1,employment,4,1,2,2002
Glaser v. Fulton-Montgomery Cmty. College,"Oakes, James L.",2,1,0,1,47,0,0,0,0,3,1,employment,1,1,2,2002
Montesano v. Principi,"Cardamone, Richard J.",0,0,0,1,56,1,0,0,0,0,1,employment,4,1,2,2002
Scaglione v. Mamaroneck Union Free Sch. Dist.,"Winter, Ralph K.",NA,NA,1,1,46,NA,0,0,0,NA,0,employment,NA,1,2,2002
Sussman v. N.Y. City Health & Hosps. Corp.,"Leval, Pierre Nelson",1,1,0,0,NA,1,0,0,0,1,0,employment,4,1,2,2002
Trigg v. N.Y. City Transit Auth.,"Jacobs, Dennis G.",0,0,0,1,48,0,0,0,0,0,0,employment,5,1,2,2002
Vincini v. Am. Bldg. Maint. Co.,"McLaughlin, Joseph W.",1,1,0,1,57,1,0,0,0,4,1,employment,4,1,2,2002
Boise v. Boufford,"Winter, Ralph K.",NA,NA,1,1,46,NA,0,0,0,NA,0,employment,NA,1,2,2002
Flaherty v. Metromail Corp.,"Calabresi, Guido",2,1,0,0,NA,1,0,0,0,3,1,employment,4,1,2,2002
"Muscoreil v. Sears, Roebuck & Co.","Jacobs, Dennis G.",0,0,0,1,48,0,0,0,0,0,1,employment,5,1,2,2002
"Dellefave v. Access Temps., Inc.","Van Graafeiland, Ellsworth",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,employment,NA,NA,2,2002
Boyd v. Thalmann,"Calabresi, Guido",2,1,1,0,NA,1,0,0,0,3,1,employment,4,1,2,2002
"Lee v. Am. Int'l Group, Inc.","McLaughlin, Joseph W.",1,1,1,1,57,1,0,0,0,4,1,employment,4,1,2,2002
Martin v. Town of Westport,"Leval, Pierre Nelson",1,1,0,0,NA,1,0,0,0,1,0,employment,4,1,2,2002
"Fitzgerald v. Ford, Marrin, Esposito, Witmeyer & Gleser","Leval, Pierre Nelson",1,1,1,0,NA,1,0,0,0,1,1,employment,4,1,2,2002
Golove v. Monroe Cmty. College,"Pooler, Rosemary",1,1,0,0,NA,NA,1,NA,NA,2,0,employment,NA,NA,2,2002
Owens v. Elmhurst Hosp. Ctr.,"Jacobs, Dennis G.",0,0,0,1,48,0,0,0,0,0,1,employment,5,1,2,2001
Copeland v. Rosen,"Meskill, Thomas J.",2,1,1,1,47,1,0,0,0,4,0,employment,4,1,2,2001
Newsome v. Berman,"Pooler, Rosemary",1,1,0,0,NA,NA,1,NA,NA,2,1,employment,NA,NA,2,2001
Amador v. City of Hartford,"Leval, Pierre Nelson",1,1,1,0,NA,1,0,0,0,1,0,employment,4,1,2,2001
Preacely v. Schulte Roth & Zabel,"Cabranes, Jose Alberto",2,1,0,0,NA,1,0,0,1,4,0,employment,4,3,2,2001
Smith v. State Univ. of N.Y.,"Walker, John M., Jr.",1,1,0,1,49,0,0,0,0,1,1,employment,2,1,2,2001
Ballard v. N.Y. City Health & Hosps. Corp.,"Winter, Ralph K.",NA,NA,0,1,46,NA,0,0,0,NA,0,employment,NA,1,2,2001
Van Alstyne v. Ackerley Group,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,1,employment,NA,2,2,2001
O'Connor v. Pan Am Corp.,"Winter, Ralph K.",NA,NA,0,1,46,NA,0,0,0,NA,1,employment,NA,1,2,2001
Jordan v. Bates USA,"Van Graafeiland, Ellsworth",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,2,2001
Farrish v. Town of E. Hartford,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,0,employment,NA,2,2,2001
Renz v. Grey Adver.,"Meskill, Thomas J.",2,1,0,1,47,1,0,0,0,4,1,employment,4,1,2,1997
"Cosgrove v. Sears, Roebuck & Co.","Cardamone, Richard J.",0,0,0,1,56,1,0,0,0,0,1,employment,4,1,2,1996
Richardson v. N.Y. State Dep't of Corr. Servs.,"Oakes, James L.",2,1,0,1,47,0,0,0,0,3,1,equal protection,1,1,2,2002
Edmond v. Hartford Ins. Co.,"Walker, John M., Jr.",1,1,1,1,49,0,0,0,0,1,1,equal protection,2,1,2,2001
Gavura v. Pa. State House of Representatives,"Sloviter, Dolores K.",1,1,1,0,47,0,1,0,0,1,1,employment,5,1,3,2002
Taylor v. Proctor,"McKee, Theodore Alexander",2,1,0,0,NA,0,0,1,0,2,0,employment,99,2,3,2002
"Delaski v. Merrill Lynch, Pierce, Fenner & Smith, Inc.","Barry, Maryanne",0,0,0,0,NA,0,1,0,0,1,1,employment,5,1,3,2002
Easter v. Grassi,"Barry, Maryanne",0,0,0,0,NA,0,1,0,0,1,1,employment,5,1,3,2002
Young v. Pennsauken Twp. Sch. Dist.,"Alito, Samuel A., Jr.",1,1,0,1,40,1,0,0,0,2,1,employment,4,1,3,2002
Hubbard v. Ashcroft,"Becker, Edward R.",1,1,0,1,49,0,0,0,0,3,1,employment,5,1,3,2002
Solomon v. Soc'y of Auto. Eng'rs,"Sloviter, Dolores K.",1,1,0,0,47,0,1,0,0,1,0,employment,5,1,3,2002
Lamb-Bowman v. Del. State Univ.,"Roth, Jane R.",1,1,0,1,56,0,1,0,0,2,1,employment,2,1,3,2002
